district,nee,total_students
VILA SONIA,AUTISMO,69
MANDAQUI,AUTISMO,69
JARAGUA,FIS_N_CADEIR,68
SAO DOMINGOS,AUTISMO,67
CAMPO GRANDE,AUTISMO,67
CIDADE ADEMAR,INTELECTUAL,67
CAMPO LIMPO,FIS_N_CADEIR,65
JOSE BONIFACIO,INTELECTUAL,62
SAO RAFAEL,FIS_N_CADEIR,62
CARRAO,AUTISMO,62
PONTE RASA,AUTISMO,60
SANTO AMARO,SURDEZ_SEVERA,60
SOCORRO,AUTISMO,59
CANGAIBA,INTELECTUAL,57
VILA MARIANA,AUTISMO,57
JOSE BONIFACIO,AUTISMO,56
IGUATEMI,FIS_N_CADEIR,55
VILA PRUDENTE,INTELECTUAL,54
LAPA,AUTISMO,54
CIDADE TIRADENTES,FIS_N_CADEIR,54
ITAQUERA,INTELECTUAL,54
JARDIM SAO LUIS,FIS_N_CADEIR,53
SAO DOMINGOS,INTELECTUAL,53
JAGUARE,AUTISMO,51
SAPOPEMBA,FIS_N_CADEIR,51
PEDREIRA,INTELECTUAL,50
BRASILANDIA,FIS_N_CADEIR,50
TREMEMBE,FIS_N_CADEIR,49
LAJEADO,FIS_N_CADEIR,49
TUCURUVI,INTELECTUAL,49
CASA VERDE,INTELECTUAL,48
JACANA,FIS_CADEIR,46
CURSINO,AUTISMO,45
ERMELINO MATARAZZO,AUTISMO,45
CAMPO GRANDE,INTELECTUAL,45
CIDADE DUTRA,FIS_N_CADEIR,45
SANTO AMARO,AUTISMO,44
CARRAO,INTELECTUAL,44
SANTA CECILIA,AUTISMO,42
CURSINO,INTELECTUAL,41
JARDIM ANGELA,FIS_CADEIR,41
SANTANA,AUTISMO,41
BELA VISTA,AUTISMO,40
ARICANDUVA,AUTISMO,40
CAPAO REDONDO,FIS_CADEIR,40
PARELHEIROS,FIS_N_CADEIR,40
VILA MATILDE,AUTISMO,40
IPIRANGA,INTELECTUAL,39
ANHANGUERA,INTELECTUAL,38
BUTANTA,INTELECTUAL,37
CAPAO REDONDO,SURDEZ_SEVERA,37
VILA GUILHERME,AUTISMO,36
AGUA RASA,AUTISMO,35
VILA ANDRADE,FIS_N_CADEIR,35
TATUAPE,AUTISMO,35
MORUMBI,AUTISMO,35
JARDIM HELENA,INTELECTUAL,35
ARICANDUVA,INTELECTUAL,34
CIDADE LIDER,FIS_N_CADEIR,34
JACANA,FIS_N_CADEIR,34
BELA VISTA,INTELECTUAL,33
VILA JACUI,INTELECTUAL,33
PONTE RASA,INTELECTUAL,33
ARTUR ALVIM,INTELECTUAL,33
VILA CURUCA,SURDEZ_SEVERA,33
VILA CURUCA,INTELECTUAL,32
JARDIM SAO LUIS,FIS_CADEIR,32
VILA MARIA,INTELECTUAL,32
JABAQUARA,FIS_N_CADEIR,31
GRAJAU,FIS_CADEIR,30
SAUDE,AUTISMO,30
CIDADE TIRADENTES,FIS_CADEIR,30
PARQUE DO CARMO,AUTISMO,29
LAJEADO,FIS_CADEIR,29
VILA MEDEIROS,FIS_N_CADEIR,29
ITAIM PAULISTA,INTELECTUAL,29
AGUA RASA,INTELECTUAL,29
FREGUESIA DO O,FIS_N_CADEIR,28
VILA SONIA,INTELECTUAL,28
CAPAO REDONDO,SURDEZ_LEVE,27
SACOMA,FIS_N_CADEIR,27
LIMAO,INTELECTUAL,27
FREGUESIA DO O,FIS_CADEIR,26
JAGUARA,AUTISMO,25
CAMPO LIMPO,FIS_CADEIR,25
MORUMBI,INTELECTUAL,25
GUAIANASES,INTELECTUAL,24
CONSOLACAO,AUTISMO,24
RAPOSO TAVARES,FIS_N_CADEIR,24
VILA LEOPOLDINA,AUTISMO,24
BRASILANDIA,BAIXA_VISAO,23
LAPA,INTELECTUAL,22
BELEM,INTELECTUAL,22
CIDADE ADEMAR,FIS_N_CADEIR,22
SAO MIGUEL,INTELECTUAL,22
VILA MATILDE,INTELECTUAL,22
PEDREIRA,FIS_N_CADEIR,22
CAMPO BELO,AUTISMO,21
SAO RAFAEL,FIS_CADEIR,21
BUTANTA,FIS_N_CADEIR,21
SANTO AMARO,INTELECTUAL,21
GRAJAU,BAIXA_VISAO,20
SAPOPEMBA,FIS_CADEIR,20
SANTA CECILIA,INTELECTUAL,20
CAMPO BELO,INTELECTUAL,20
MOOCA,INTELECTUAL,20
VILA MARIANA,FIS_CADEIR,19
PIRITUBA,INTELECTUAL,19
SOCORRO,INTELECTUAL,19
BELEM,AUTISMO,19
PERDIZES,AUTISMO,19
CACHOEIRINHA,FIS_CADEIR,19
BOM RETIRO,AUTISMO,19
VILA MARIANA,MULTIPLA,18
PARELHEIROS,FIS_CADEIR,18
JARDIM ANGELA,SURDEZ_LEVE,18
SAO MATEUS,FIS_N_CADEIR,18
JAGUARE,INTELECTUAL,17
JARDIM ANGELA,BAIXA_VISAO,17
JARAGUA,FIS_CADEIR,17
BRASILANDIA,FIS_CADEIR,17
VILA ANDRADE,FIS_CADEIR,16
CAMPO LIMPO,BAIXA_VISAO,16
SAPOPEMBA,BAIXA_VISAO,16
SAO DOMINGOS,FIS_CADEIR,16
RIO PEQUENO,FIS_N_CADEIR,16
ITAIM BIBI,AUTISMO,16
ITAIM PAULISTA,FIS_N_CADEIR,16
CIDADE DUTRA,BAIXA_VISAO,15
JARAGUA,BAIXA_VISAO,15
GUAIANASES,FIS_N_CADEIR,15
PENHA,AUTISMO,15
PERUS,FIS_N_CADEIR,15
CACHOEIRINHA,FIS_N_CADEIR,15
VILA FORMOSA,AUTISMO,15
ERMELINO MATARAZZO,FIS_N_CADEIR,15
CACHOEIRINHA,SURDEZ_LEVE,14
GRAJAU,SURDEZ_LEVE,14
CANGAIBA,FIS_CADEIR,14
JARAGUA,SURDEZ_LEVE,14
VILA LEOPOLDINA,FIS_N_CADEIR,14
CIDADE LIDER,BAIXA_VISAO,14
VILA MARIANA,SURDEZ_SEVERA,14
ARTUR ALVIM,AUTISMO,13
IGUATEMI,BAIXA_VISAO,13
JARDIM SAO LUIS,SURDEZ_LEVE,13
SACOMA,FIS_CADEIR,13
LIBERDADE,SURDEZ_LEVE,13
IGUATEMI,FIS_CADEIR,13
SANTO AMARO,SURDEZ_LEVE,13
TREMEMBE,FIS_CADEIR,13
SAPOPEMBA,SURDEZ_SEVERA,12
PERUS,BAIXA_VISAO,12
VILA MATILDE,FIS_N_CADEIR,12
MOOCA,AUTISMO,12
RIO PEQUENO,FIS_CADEIR,12
SAO LUCAS,FIS_CADEIR,12
VILA MARIA,FIS_CADEIR,12
VILA GUILHERME,INTELECTUAL,12
LIBERDADE,AUTISMO,12
CIDADE TIRADENTES,BAIXA_VISAO,12
SACOMA,BAIXA_VISAO,11
TUCURUVI,FIS_N_CADEIR,11
ANHANGUERA,FIS_N_CADEIR,11
CAPAO REDONDO,BAIXA_VISAO,11
CIDADE ADEMAR,BAIXA_VISAO,11
JARAGUA,SINDROME_ASPERGER,11
VILA MARIA,FIS_N_CADEIR,11
CIDADE DUTRA,ALT_HAB,11
SAPOPEMBA,SURDEZ_LEVE,11
RIO PEQUENO,BAIXA_VISAO,11
JARDIM SAO LUIS,BAIXA_VISAO,11
CARRAO,FIS_N_CADEIR,11
IPIRANGA,FIS_CADEIR,11
IPIRANGA,FIS_N_CADEIR,11
PIRITUBA,FIS_N_CADEIR,11
JOSE BONIFACIO,FIS_N_CADEIR,11
CAMBUCI,AUTISMO,10
BRASILANDIA,SURDEZ_LEVE,10
VILA LEOPOLDINA,INTELECTUAL,10
MANDAQUI,FIS_N_CADEIR,10
LAJEADO,BAIXA_VISAO,10
BELA VISTA,FIS_N_CADEIR,10
VILA CURUCA,FIS_N_CADEIR,10
ERMELINO MATARAZZO,FIS_CADEIR,9
SAO LUCAS,FIS_N_CADEIR,9
VILA PRUDENTE,FIS_N_CADEIR,9
CIDADE LIDER,FIS_CADEIR,9
CIDADE DUTRA,FIS_CADEIR,9
SAO RAFAEL,MULTIPLA,9
VILA PRUDENTE,FIS_CADEIR,9
RAPOSO TAVARES,BAIXA_VISAO,9
ITAIM PAULISTA,FIS_CADEIR,9
CANGAIBA,FIS_N_CADEIR,9
CAMPO LIMPO,SURDEZ_LEVE,9
CAMPO GRANDE,FIS_N_CADEIR,9
PARELHEIROS,SURDEZ_LEVE,9
VILA JACUI,FIS_N_CADEIR,9
BELEM,SURDEZ_LEVE,9
BELEM,FIS_N_CADEIR,9
JOSE BONIFACIO,FIS_CADEIR,9
LIMAO,FIS_N_CADEIR,9
JACANA,BAIXA_VISAO,8
PARELHEIROS,CEGUEIRA,8
SE,AUTISMO,8
SAO DOMINGOS,FIS_N_CADEIR,8
CAMPO LIMPO,TRANST_DES_INF,8
LIBERDADE,SURDO_CEGO,8
SANTANA,INTELECTUAL,8
VILA MATILDE,SURDEZ_LEVE,8
IPIRANGA,MULTIPLA,8
VILA MARIANA,FIS_N_CADEIR,8
SOCORRO,FIS_N_CADEIR,8
SAPOPEMBA,CEGUEIRA,8
JABAQUARA,BAIXA_VISAO,8
TATUAPE,FIS_N_CADEIR,8
VILA SONIA,FIS_N_CADEIR,8
SAO RAFAEL,SURDEZ_LEVE,8
MOEMA,AUTISMO,8
CASA VERDE,SURDEZ_LEVE,7
CANGAIBA,SURDEZ_SEVERA,7
AGUA RASA,FIS_N_CADEIR,7
SAO RAFAEL,BAIXA_VISAO,7
RAPOSO TAVARES,FIS_CADEIR,7
GRAJAU,TRANST_DES_INF,7
ARTUR ALVIM,FIS_N_CADEIR,7
GRAJAU,SURDEZ_SEVERA,7
CAPAO REDONDO,SINDROME_ASPERGER,7
GRAJAU,SINDROME_ASPERGER,7
SAO LUCAS,SURDEZ_LEVE,7
ARICANDUVA,FIS_N_CADEIR,7
JARDIM ANGELA,MULTIPLA,7
GRAJAU,ALT_HAB,7
CIDADE LIDER,SURDEZ_LEVE,7
JARDIM HELENA,FIS_N_CADEIR,7
JARDIM ANGELA,SURDEZ_SEVERA,7
LAJEADO,SURDEZ_SEVERA,7
CAMPO LIMPO,SURDEZ_SEVERA,7
RAPOSO TAVARES,SURDEZ_LEVE,7
ITAQUERA,SURDEZ_LEVE,7
VILA SONIA,FIS_CADEIR,7
PONTE RASA,FIS_N_CADEIR,7
SAO DOMINGOS,BAIXA_VISAO,7
VILA ANDRADE,BAIXA_VISAO,7
VILA MEDEIROS,FIS_CADEIR,7
VILA SONIA,SURDEZ_LEVE,6
JABAQUARA,FIS_CADEIR,6
CAMPO GRANDE,BAIXA_VISAO,6
PENHA,INTELECTUAL,6
SAUDE,INTELECTUAL,6
ARICANDUVA,BAIXA_VISAO,6
VILA CURUCA,FIS_CADEIR,6
CARRAO,BAIXA_VISAO,6
JAGUARA,INTELECTUAL,6
REPUBLICA,AUTISMO,6
CASA VERDE,FIS_CADEIR,6
CURSINO,FIS_CADEIR,6
RIO PEQUENO,SURDEZ_LEVE,6
VILA MARIANA,SURDEZ_LEVE,6
CIDADE LIDER,MULTIPLA,6
CIDADE TIRADENTES,SURDEZ_LEVE,6
ANHANGUERA,BAIXA_VISAO,6
LAJEADO,SURDEZ_LEVE,6
PERUS,FIS_CADEIR,6
ITAQUERA,SURDEZ_SEVERA,6
CAMBUCI,INTELECTUAL,5
BARRA FUNDA,AUTISMO,5
BELA VISTA,SURDEZ_LEVE,5
BELEM,MULTIPLA,5
BRASILANDIA,SINDROME_RETT,5
BUTANTA,SURDEZ_LEVE,5
CAMPO GRANDE,SURDEZ_LEVE,5
CAMPO LIMPO,MULTIPLA,5
CIDADE DUTRA,SURDEZ_SEVERA,5
CIDADE LIDER,SURDEZ_SEVERA,5
CIDADE LIDER,TRANST_DES_INF,5
CURSINO,FIS_N_CADEIR,5
IPIRANGA,SURDEZ_SEVERA,5
ITAQUERA,BAIXA_VISAO,5
ITAQUERA,FIS_CADEIR,5
ITAQUERA,FIS_N_CADEIR,5
JABAQUARA,SURDEZ_SEVERA,5
JAGUARE,FIS_N_CADEIR,5
JAGUARE,TRANST_DES_INF,5
JARDIM ANGELA,TRANST_DES_INF,5
JARDIM PAULISTA,INTELECTUAL,5
JARDIM SAO LUIS,ALT_HAB,5
JARDIM SAO LUIS,SURDEZ_SEVERA,5
MANDAQUI,BAIXA_VISAO,5
MARSILAC,AUTISMO,5
PERUS,SURDEZ_LEVE,5
PINHEIROS,AUTISMO,5
RAPOSO TAVARES,SINDROME_ASPERGER,5
SAO DOMINGOS,SURDEZ_LEVE,5
SAO LUCAS,SURDEZ_SEVERA,5
SAUDE,FIS_N_CADEIR,5
SOCORRO,SURDEZ_LEVE,5
TATUAPE,SURDEZ_SEVERA,5
VILA CURUCA,SURDEZ_LEVE,5
VILA MATILDE,BAIXA_VISAO,5
VILA PRUDENTE,BAIXA_VISAO,5
CIDADE TIRADENTES,SURDEZ_SEVERA,4
LIMAO,SURDEZ_SEVERA,4
JARAGUA,ALT_HAB,4
JOSE BONIFACIO,SURDEZ_LEVE,4
PONTE RASA,FIS_CADEIR,4
CIDADE DUTRA,SURDEZ_LEVE,4
TREMEMBE,SURDEZ_SEVERA,4
JOSE BONIFACIO,BAIXA_VISAO,4
MANDAQUI,FIS_CADEIR,4
PARELHEIROS,BAIXA_VISAO,4
FREGUESIA DO O,BAIXA_VISAO,4
ITAQUERA,CEGUEIRA,4
FREGUESIA DO O,SURDEZ_LEVE,4
RAPOSO TAVARES,SURDEZ_SEVERA,4
SAO MIGUEL,BAIXA_VISAO,4
RAPOSO TAVARES,SINDROME_RETT,4
SAO MIGUEL,FIS_N_CADEIR,4
ITAIM PAULISTA,BAIXA_VISAO,4
IGUATEMI,SURDEZ_LEVE,4
CAPAO REDONDO,MULTIPLA,4
PIRITUBA,BAIXA_VISAO,4
ITAIM PAULISTA,SURDEZ_SEVERA,4
BOM RETIRO,INTELECTUAL,4
IGUATEMI,CEGUEIRA,4
VILA MARIANA,BAIXA_VISAO,4
FREGUESIA DO O,MULTIPLA,4
CAMPO GRANDE,FIS_CADEIR,4
CACHOEIRINHA,TRANST_DES_INF,4
VILA MEDEIROS,MULTIPLA,4
JABAQUARA,SINDROME_ASPERGER,4
RIO PEQUENO,SINDROME_ASPERGER,4
SOCORRO,FIS_CADEIR,4
ITAQUERA,ALT_HAB,4
BRASILANDIA,SURDEZ_SEVERA,4
VILA MEDEIROS,SURDEZ_LEVE,4
JARDIM HELENA,FIS_CADEIR,4
VILA MEDEIROS,TRANST_DES_INF,4
CAMPO LIMPO,CEGUEIRA,4
SANTA CECILIA,FIS_N_CADEIR,4
LIMAO,SURDEZ_LEVE,4
TREMEMBE,BAIXA_VISAO,4
CAMPO LIMPO,ALT_HAB,4
PARQUE DO CARMO,FIS_N_CADEIR,4
JARDIM ANGELA,SINDROME_ASPERGER,4
PINHEIROS,INTELECTUAL,4
VILA FORMOSA,FIS_N_CADEIR,3
SAO RAFAEL,SURDEZ_SEVERA,3
JACANA,SURDEZ_SEVERA,3
SAO RAFAEL,TRANST_DES_INF,3
GUAIANASES,SURDEZ_SEVERA,3
SAPOPEMBA,ALT_HAB,3
GUAIANASES,FIS_CADEIR,3
ITAIM PAULISTA,TRANST_DES_INF,3
VILA JACUI,FIS_CADEIR,3
RIO PEQUENO,SURDEZ_SEVERA,3
BRASILANDIA,CEGUEIRA,3
VILA JACUI,SURDEZ_SEVERA,3
MOOCA,FIS_N_CADEIR,3
PEDREIRA,FIS_CADEIR,3
GUAIANASES,CEGUEIRA,3
GUAIANASES,BAIXA_VISAO,3
GRAJAU,MULTIPLA,3
BELEM,FIS_CADEIR,3
FREGUESIA DO O,SURDEZ_SEVERA,3
JARAGUA,SURDEZ_SEVERA,3
BELA VISTA,SINDROME_ASPERGER,3
BELA VISTA,FIS_CADEIR,3
SACOMA,SURDEZ_LEVE,3
JACANA,MULTIPLA,3
FREGUESIA DO O,SINDROME_RETT,3
SANTA CECILIA,BAIXA_VISAO,3
JARDIM ANGELA,CEGUEIRA,3
ITAIM BIBI,INTELECTUAL,3
VILA PRUDENTE,SURDEZ_SEVERA,3
PIRITUBA,SURDEZ_SEVERA,3
ANHANGUERA,SURDEZ_SEVERA,3
ANHANGUERA,SURDEZ_LEVE,3
VILA MEDEIROS,SURDEZ_SEVERA,3
ANHANGUERA,FIS_CADEIR,3
PEDREIRA,SURDEZ_SEVERA,3
PEDREIRA,TRANST_DES_INF,3
PARI,AUTISMO,3
LAPA,FIS_N_CADEIR,3
MORUMBI,FIS_N_CADEIR,3
VILA ANDRADE,ALT_HAB,3
LIBERDADE,MULTIPLA,3
JABAQUARA,SURDEZ_LEVE,3
SOCORRO,BAIXA_VISAO,3
ERMELINO MATARAZZO,BAIXA_VISAO,3
CONSOLACAO,INTELECTUAL,3
CONSOLACAO,FIS_N_CADEIR,3
CACHOEIRINHA,SINDROME_RETT,3
ALTO DE PINHEIROS,INTELECTUAL,3
VILA ANDRADE,SURDEZ_LEVE,3
CIDADE DUTRA,TRANST_DES_INF,3
CACHOEIRINHA,BAIXA_VISAO,3
JABAQUARA,ALT_HAB,3
CIDADE DUTRA,MULTIPLA,3
SAO MATEUS,SURDEZ_SEVERA,3
CAPAO REDONDO,TRANST_DES_INF,3
JARDIM HELENA,SURDEZ_LEVE,3
CIDADE ADEMAR,SURDEZ_LEVE,3
REPUBLICA,INTELECTUAL,3
CIDADE ADEMAR,SURDEZ_SEVERA,3
VILA FORMOSA,FIS_CADEIR,3
SACOMA,SINDROME_RETT,2
MARSILAC,INTELECTUAL,2
CIDADE ADEMAR,MULTIPLA,2
CIDADE ADEMAR,FIS_CADEIR,2
CIDADE ADEMAR,CEGUEIRA,2
CASA VERDE,FIS_N_CADEIR,2
CARRAO,SURDEZ_LEVE,2
CARRAO,FIS_CADEIR,2
PARELHEIROS,SURDEZ_SEVERA,2
SAPOPEMBA,MULTIPLA,2
CAPAO REDONDO,CEGUEIRA,2
CAPAO REDONDO,ALT_HAB,2
CANGAIBA,MULTIPLA,2
JARDIM PAULISTA,AUTISMO,2
CANGAIBA,CEGUEIRA,2
PIRITUBA,SINDROME_ASPERGER,2
SOCORRO,SURDEZ_SEVERA,2
JARDIM HELENA,BAIXA_VISAO,2
TATUAPE,BAIXA_VISAO,2
TATUAPE,FIS_CADEIR,2
CAMPO GRANDE,SINDROME_ASPERGER,2
ITAIM PAULISTA,SINDROME_ASPERGER,2
TATUAPE,SURDEZ_LEVE,2
AGUA RASA,SINDROME_ASPERGER,2
JACANA,TRANST_DES_INF,2
CAMPO BELO,SINDROME_RETT,2
RAPOSO TAVARES,CEGUEIRA,2
ITAIM BIBI,FIS_N_CADEIR,2
PARQUE DO CARMO,INTELECTUAL,2
JARAGUA,TRANST_DES_INF,2
CAMPO BELO,ALT_HAB,2
RAPOSO TAVARES,TRANST_DES_INF,2
CAMBUCI,BAIXA_VISAO,2
JARDIM HELENA,SURDEZ_SEVERA,2
REPUBLICA,FIS_CADEIR,2
VILA ANDRADE,TRANST_DES_INF,2
CACHOEIRINHA,SINDROME_ASPERGER,2
VILA CURUCA,BAIXA_VISAO,2
REPUBLICA,FIS_N_CADEIR,2
BUTANTA,SURDEZ_SEVERA,2
IGUATEMI,SINDROME_ASPERGER,2
BUTANTA,FIS_CADEIR,2
VILA FORMOSA,SINDROME_ASPERGER,2
VILA GUILHERME,ALT_HAB,2
BUTANTA,BAIXA_VISAO,2
PEDREIRA,BAIXA_VISAO,2
VILA GUILHERME,SURDEZ_SEVERA,2
VILA JACUI,BAIXA_VISAO,2
BRASILANDIA,ALT_HAB,2
BRAS,BAIXA_VISAO,2
SACOMA,ALT_HAB,2
VILA MARIA,BAIXA_VISAO,2
VILA MARIANA,SINDROME_RETT,2
PEDREIRA,MULTIPLA,2
VILA MARIANA,SURDO_CEGO,2
FREGUESIA DO O,SINDROME_ASPERGER,2
ARICANDUVA,SURDEZ_LEVE,2
ARICANDUVA,SINDROME_ASPERGER,2
ARICANDUVA,FIS_CADEIR,2
ANHANGUERA,TRANST_DES_INF,2
PEDREIRA,SINDROME_ASPERGER,2
PENHA,BAIXA_VISAO,2
SANTO AMARO,FIS_N_CADEIR,2
SANTO AMARO,SINDROME_ASPERGER,2
LIBERDADE,INTELECTUAL,2
ERMELINO MATARAZZO,MULTIPLA,2
LIMAO,CEGUEIRA,2
MORUMBI,SURDEZ_LEVE,2
PERDIZES,INTELECTUAL,2
SAO DOMINGOS,SINDROME_RETT,2
MORUMBI,SURDEZ_SEVERA,2
CIDADE TIRADENTES,TRANST_DES_INF,2
CIDADE TIRADENTES,MULTIPLA,2
VILA SONIA,BAIXA_VISAO,2
SAO MATEUS,FIS_CADEIR,2
LIMAO,FIS_CADEIR,2
MANDAQUI,TRANST_DES_INF,2
JAGUARA,FIS_N_CADEIR,2
ALTO DE PINHEIROS,FIS_N_CADEIR,1
JARDIM PAULISTA,ALT_HAB,1
JARDIM HELENA,TRANST_DES_INF,1
LIMAO,ALT_HAB,1
AGUA RASA,FIS_CADEIR,1
JARDIM ANGELA,SINDROME_RETT,1
MANDAQUI,SURDEZ_LEVE,1
MANDAQUI,SURDEZ_SEVERA,1
ANHANGUERA,CEGUEIRA,1
MOEMA,FIS_N_CADEIR,1
MOEMA,INTELECTUAL,1
JARDIM ANGELA,ALT_HAB,1
MOOCA,SURDEZ_LEVE,1
MORUMBI,BAIXA_VISAO,1
JARAGUA,CEGUEIRA,1
PARELHEIROS,ALT_HAB,1
JAGUARE,SINDROME_RETT,1
JAGUARE,SINDROME_ASPERGER,1
JAGUARE,FIS_CADEIR,1
PARELHEIROS,MULTIPLA,1
PARELHEIROS,SINDROME_ASPERGER,1
JAGUARA,FIS_CADEIR,1
PARELHEIROS,TRANST_DES_INF,1
PARI,FIS_N_CADEIR,1
PARI,SURDEZ_SEVERA,1
PARQUE DO CARMO,BAIXA_VISAO,1
PARQUE DO CARMO,SURDEZ_LEVE,1
PARQUE DO CARMO,SURDEZ_SEVERA,1
JACANA,SURDEZ_LEVE,1
JABAQUARA,TRANST_DES_INF,1
PENHA,FIS_N_CADEIR,1
PENHA,SURDEZ_SEVERA,1
PERDIZES,FIS_N_CADEIR,1
PERDIZES,SURDEZ_LEVE,1
PERDIZES,SURDEZ_SEVERA,1
JABAQUARA,CEGUEIRA,1
ITAQUERA,SINDROME_RETT,1
ITAQUERA,SINDROME_ASPERGER,1
ITAQUERA,MULTIPLA,1
PERUS,SINDROME_ASPERGER,1
ANHANGUERA,ALT_HAB,1
PERUS,SURDEZ_SEVERA,1
ALTO DE PINHEIROS,SURDEZ_SEVERA,1
PIRITUBA,CEGUEIRA,1
PIRITUBA,FIS_CADEIR,1
PIRITUBA,MULTIPLA,1
PIRITUBA,TRANST_DES_INF,1
PONTE RASA,BAIXA_VISAO,1
ITAIM PAULISTA,SURDEZ_LEVE,1
PONTE RASA,SURDEZ_SEVERA,1
PONTE RASA,TRANST_DES_INF,1
ITAIM PAULISTA,MULTIPLA,1
IPIRANGA,TRANST_DES_INF,1
IPIRANGA,SINDROME_RETT,1
IGUATEMI,SURDEZ_SEVERA,1
IGUATEMI,ALT_HAB,1
RIO PEQUENO,MULTIPLA,1
RIO PEQUENO,TRANST_DES_INF,1
SACOMA,SINDROME_ASPERGER,1
SACOMA,SURDEZ_SEVERA,1
SANTA CECILIA,FIS_CADEIR,1
SANTANA,ALT_HAB,1
SANTANA,BAIXA_VISAO,1
SANTANA,FIS_CADEIR,1
FREGUESIA DO O,CEGUEIRA,1
SANTO AMARO,BAIXA_VISAO,1
ERMELINO MATARAZZO,SURDEZ_SEVERA,1
ERMELINO MATARAZZO,SINDROME_ASPERGER,1
SAO DOMINGOS,ALT_HAB,1
CURSINO,SURDEZ_LEVE,1
CURSINO,SINDROME_RETT,1
SAO DOMINGOS,SINDROME_ASPERGER,1
SAO DOMINGOS,TRANST_DES_INF,1
SAO LUCAS,BAIXA_VISAO,1
CIDADE LIDER,CEGUEIRA,1
CIDADE DUTRA,SINDROME_ASPERGER,1
SAO MATEUS,SURDEZ_LEVE,1
SAO MATEUS,TRANST_DES_INF,1
SAO MIGUEL,ALT_HAB,1
CIDADE DUTRA,CEGUEIRA,1
SAO MIGUEL,FIS_CADEIR,1
SAO MIGUEL,SURDEZ_LEVE,1
SAO MIGUEL,SURDEZ_SEVERA,1
SAO RAFAEL,ALT_HAB,1
CASA VERDE,MULTIPLA,1
CASA VERDE,ALT_HAB,1
CARRAO,MULTIPLA,1
CAPAO REDONDO,SINDROME_RETT,1
SAUDE,BAIXA_VISAO,1
SAUDE,FIS_CADEIR,1
SAUDE,SURDEZ_LEVE,1
CANGAIBA,BAIXA_VISAO,1
SE,FIS_CADEIR,1
