Nº Protocolo;Código DRE;DRE;Processo ;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Valor Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Solicitação Parceria;Data Lavratura do Termo;Data do Encerramento
53;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.971-7;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400460;CEI INDIR - ISABEL RIBEIRO;85;17;54106,56;0;0;01/07/2015;30/12/2017;Encerrado;24/03/2014;21/12/2012;30/12/2017
22017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049967-3;300565;SOCIEDADE BENEFICENTE SAO CAMILO;61.697.678/0001-60;400639;CEI INDIR - JARDIM ARPOADOR;174;78;212869,74;0;0;02/06/2022;01/06/2027;Aprovado;05/06/2017;02/06/2017;
1530;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.929-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400639;CEI INDIR - JARDIM ARPOADOR;174;54;100910,94;0;0;03/12/2014;02/06/2017;Encerrado;30/12/2014;01/06/2012;02/06/2017
6262017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048747-0;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.975.737/0001-51;400783;CEI INDIR - JARDIM EDITE;163;74;201871,88;0;0;01/01/2023;31/12/2027;Aprovado;01/12/2017;01/01/2018;
51;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.354.449-5;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;400783;CEI INDIR - JARDIM EDITE;166;66;103112,54;0;0;26/07/2015;25/01/2018;Encerrado;24/03/2014;17/05/2013;31/12/2017
7702017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050006-0;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;60.597.044/0001-72;400633;CEI INDIR - JARDIM JAQUELINE;182;84;222316,12;0;0;01/01/2023;31/12/2027;Aprovado;08/12/2017;19/12/2017;
4865;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.248.103-9;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400633;CEI INDIR - JARDIM JAQUELINE;161;63;108599,82;0;0;01/01/2017;30/06/2019;Encerrado;15/12/2016;09/12/2016;01/01/2018
58;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.352.525-1;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400633;CEI INDIR - JARDIM JAQUELINE;161;63;91937,39;0;0;01/08/2014;31/12/2016;Encerrado;24/03/2014;01/02/2012;31/12/2016
232023;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2023/0007681-1;800207;INSTITUTO JULIA MELO;62.440.094/0001-77;400885;CEI INDIR - JOAO CARLOS DI GENIO;138;58;173640,18;0;0;09/02/2023;08/02/2028;Aprovado;03/02/2023;09/02/2023;
7112017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050066-3;300508;OBRA ASSISTENCIAL JESUS MENINO;04.753.716/0001-10;400413;CEI INDIR - JOAO XXIII, PAPA;92;32;121434,36;0;0;01/01/2023;31/12/2027;Aprovado;06/12/2017;01/01/2018;
2502;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.283.233-6;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400413;CEI INDIR - JOAO XXIII, PAPA;123;27;75739,35;0;0;08/12/2015;07/06/2018;Encerrado;08/12/2015;08/12/2015;31/12/2017
36;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.210.672-7;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400413;CEI INDIR - JOAO XXIII, PAPA;99;99;74267,79;0;0;01/03/2014;31/08/2016;Encerrado;20/03/2014;11/09/2012;08/12/2015
762023;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2023/0111298-6;800407;INSTITUTO NOVO TEMPO MUNDIAL;01.309.378/0001-34;400893;CEI INDIR - JONAS ABIB, MONS.;82;12;102457,28;0;0;02/10/2023;01/10/2028;Aprovado;18/09/2023;02/10/2023;
11082017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;800023;LAR DO ALVORECER CRISTÃO;51.221.760/0001-60;400408;CEI INDIR - LAR DO ALVORECER CRISTAO;132;48;163978,92;0;0;01/01/2023;31/12/2027;Aprovado;21/12/2017;01/01/2018;
1529;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.012-0;800023;LAR DO ALVORECER CRISTÃO;51.221.760/0002-40;400408;CEI INDIR - LAR DO ALVORECER CRISTAO;136;49;83898,7;0;0;01/07/2015;31/12/2017;Encerrado;30/12/2014;26/12/2012;31/12/2017
1712018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000866-3;300252;CARITAS CAMPO LIMPO CCL;51.221.760/0002-40;400840;CEI INDIR - MADRE TERESA DE CALCUTA;80;31;109403,95;0;0;17/01/2023;16/01/2027;Aprovado;12/01/2018;17/01/2018;
8252017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050001-9;300376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;51.221.760/0001-60;400306;CEI INDIR - MAE DO SALVADOR;181;103;230387,21;0;0;01/01/2023;31/12/2027;Aprovado;13/12/2017;01/01/2018;
46;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.031-6;300376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;64.033.061/0001-38;400306;CEI INDIR - MAE DO SALVADOR;176;66;104394,06;0;0;01/07/2015;31/12/2017;Encerrado;20/03/2014;21/12/2012;31/12/2017
882017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000238-0;300428;CRUZADA PRO INFANCIA;62.481.064/0001-09;400307;CEI INDIR - MARIA DE LOURDES FERRARINI;95;47;131149,95;0;0;18/08/2022;17/08/2027;Aprovado;18/08/2017;18/08/2017;
57;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.157.995-0;300428;CRUZADA PRO INFANCIA;62.481.064/0001-09;400307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;69334,17;0;0;19/02/2015;18/08/2017;Encerrado;24/03/2014;17/08/2012;18/08/2017
892017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000257-6;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306562;CEI INDIR - MARIA TERESA DE MACEDO COSTA;204;87;241969,59;0;0;18/08/2022;17/08/2027;Aprovado;18/08/2017;18/08/2017;
55;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.158.368-8;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;118475,54;0;0;19/02/2015;18/08/2017;Encerrado;24/03/2014;17/08/2012;18/08/2017
9052017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050098-1;800036;ASSOCIAÇÃO NOITE ENCANTADA;60.915.790/0001-67;400412;CEI INDIR - NOITE ENCANTADA VII;48;16;67769,76;0;0;01/01/2023;31/12/2027;Aprovado;18/12/2017;01/01/2018;
3748;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;60.915.790/0001-67;400412;CEI INDIR - NOITE ENCANTADA VII;69;14;48814,11;0;0;18/07/2016;17/01/2019;Encerrado;19/07/2016;18/07/2016;31/12/2017
9342017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046995-2;300326;CENTRO SOCIAL SANTO DIAS;00.209.352/0001-51;400332;CEI INDIR - NOSSA SENHORA ASSUNCAO;61;23;87094,49;0;0;01/01/2023;31/12/2027;Aprovado;18/12/2017;01/01/2018;
2478;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.272.310-3;300326;CENTRO SOCIAL SANTO DIAS;00.209.352/0001-51;400332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;22;49198,54;0;0;23/11/2015;22/05/2018;Encerrado;23/11/2015;23/11/2015;31/12/2017
29;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.112.396-2;300326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;;38972;0;0;01/01/2014;30/06/2016;Encerrado;20/03/2014;18/12/2013;23/11/2015
52;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.046-4;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;58.409.871/0001-43;400412;CEI INDIR - NOVA ERA, MODULO I;69;27;48421,44;0;0;01/07/2015;31/12/2017;Encerrado;24/03/2014;27/12/2012;05/07/2016
27;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.053-7;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;58.409.871/0001-43;306206;CEI INDIR - NOVA ERA, MODULO II;69;27;48421,44;0;0;01/07/2015;31/12/2017;Encerrado;20/03/2014;27/12/2012;05/07/2016
2222018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043721-0;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;43.082.197/0001-68;400685;CEI INDIR - PARAISOPOLIS;159;54;189185,04;0;0;20/01/2023;19/01/2028;Aprovado;15/01/2018;20/01/2018;
1608;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.061.599-7;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;43.082.197/0001-68;400685;CEI INDIR - PARAISOPOLIS;179;;93739,78;0;0;21/07/2015;20/01/2018;Encerrado;03/02/2015;03/04/2013;31/12/2017
62022;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2022/0040411-6;800207;INSTITUTO JULIA MELO;62.440.094/0001-77;400665;CEI INDIR - PEQUENOS DO BUTANTA V;50;32;77776,4;0;0;01/06/2022;31/05/2027;Aprovado;12/04/2022;01/06/2022;
6002017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043133-5;300113;ASS CRIANCA BRASIL;62.440.094/0001-77;400415;CEI INDIR - RECANTO DA ALEGRIA III;121;49;155323,31;0;0;01/01/2023;31/12/2027;Aprovado;30/11/2017;01/01/2018;
34;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.105-3;300113;ASS CRIANCA BRASIL;04.753.716/0001-10;400415;CEI INDIR - RECANTO DA ALEGRIA III;136;45;83016,78;0;0;01/07/2015;31/12/2017;Encerrado;20/03/2014;28/12/2012;31/12/2017
7862017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046990-1;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;306206;CEI INDIR - RECANTO DA ALEGRIA V;79;32;108895,46;0;0;01/01/2023;31/12/2027;Aprovado;11/12/2017;01/01/2018;
3750;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;306206;CEI INDIR - RECANTO DA ALEGRIA V;79;32;58419,85;0;0;18/07/2016;17/01/2019;Encerrado;20/07/2016;18/07/2016;31/12/2017
11182017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050106-6;300806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;58.373.234/0001-64;400665;CEI INDIR - SANTA ROSA III;63;14;68932,82;0;0;01/01/2018;31/12/2022;Encerrado;21/12/2017;01/01/2018;01/06/2022
3747;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.156.672-3;300806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;58.373.234/0001-64;400665;CEI INDIR - SANTA ROSA III;67;18;48720,61;0;0;18/07/2016;17/01/2019;Encerrado;19/07/2016;18/07/2016;31/12/2017
9172017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043124-6;300549;PROVINCIA CARMELITANA DE SANTO ELIAS;09.636.869/0001-00;400370;CEI INDIR - SANTA TEREZA DE JESUS;92;32;121434,36;0;0;01/01/2023;31/12/2027;Aprovado;18/12/2017;01/01/2018;
32;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.265-0;300549;PROVINCIA CARMELITANA DE SANTO ELIAS;09.636.869/0001-00;400370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;63560,18;0;0;26/07/2015;25/01/2018;Encerrado;20/03/2014;03/04/2013;31/12/2017
2051;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.763-8;300252;CARITAS CAMPO LIMPO CCL;33.621.319/0008-60;400808;CEI INDIR - SAO BENEDITO;153;80;100688,06;0;0;25/07/2015;24/01/2018;Encerrado;04/08/2015;25/07/2015;31/12/2017
2252020;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2020/0068311-9;300376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;33.621.319/0008-60;400881;CEI INDIR - SAO JORGE;160;63;194230,55;0;0;02/10/2020;01/10/2025;Aprovado;11/09/2020;02/10/2020;
11092017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046707-0;300582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;64.033.061/0001-38;400416;CEI INDIR - SAO LUIS GONZAGA;222;101;214080,05;0;0;01/01/2023;31/12/2027;Encerrado;21/12/2017;01/01/2018;05/07/2023
542023;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2023/0075935-8;300199;ASSOCIACAO SANTO AGOSTINHO;62.481.064/0001-09;400416;CEI INDIR - SAO LUIS GONZAGA;222;101;263458,17;0;0;05/07/2023;04/07/2028;Aprovado;29/06/2023;05/07/2023;
24;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2;300582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400416;CEI INDIR - SAO LUIS GONZAGA;223;71;125174,42;0;0;01/07/2015;31/12/2017;Encerrado;20/03/2014;28/12/2012;31/12/2017
2559;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.299.181-7;300126;ASS CULTURAL VITTA;62.272.497/0001-54;306192;CEI INDIR - VILA DALVA, CEI;127;27;80682,81;0;0;13/01/2016;12/07/2018;Encerrado;13/01/2016;13/01/2016;31/12/2017
1520;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.230.417-4;300126;ASS CULTURAL VITTA;69.273.605/0001-52;306192;CEI INDIR - VILA DALVA, CEI;129;18;67248,6;0;0;19/10/2013;18/04/2016;Encerrado;29/12/2014;18/10/2013;13/01/2016
2270;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.005-9;800036;ASSOCIAÇÃO NOITE ENCANTADA;07.246.378/0001-19;;CEI NOITE ENCANTADA V;196;123;147968,73;19000;0;30/10/2015;29/04/2018;Encerrado;07/10/2015;21/10/2015;12/11/2015
10142017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050058-2;300520;MOVIMENTO ASSISTENCIAL DO BUTANTA;07.246.378/0001-19;306200;CR.P.CONV - LAR NOSSA SENHORA DOS POBRES;67;32;97172,18;0;0;01/01/2023;31/12/2027;Aprovado;20/12/2017;01/01/2018;
5782017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048636-9;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;00.209.352/0001-51;308451;CR.P.CONV - ALECRIM;350;178;351850,6;19500;2688,5;01/01/2018;31/12/2022;Encerrado;28/11/2017;01/01/2018;01/08/2019
1152019;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2019/0043837-6;800265;CENTRO DE DESENVOLVIMENTO E AMPARO A PESSOA;62.272.497/0001-54;309420;CR.P.CONV - ALECRIM;400;174;469346,94;20759,72;3288,32;02/08/2019;01/08/2024;Aprovado;26/08/2019;02/08/2019;
2080;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.174.215-5;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;26.350.594/0001-54;308451;CR.P.CONV - ALECRIM;280;122;176889,24;11760;198,5;25/07/2015;24/01/2018;Encerrado;05/08/2015;25/07/2015;31/12/2017
5802017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049991-6;800070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;47.242.938/0001-81;308408;CR.P.CONV - ALEGRIA DE APRENDER;107;52;152963,82;7988,01;728,25;01/01/2023;31/12/2027;Aprovado;28/11/2017;01/01/2018;
2138;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.186.490-0;800070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;13.222.705/0001-03;308408;CR.P.CONV - ALEGRIA DE APRENDER;103;54;80751,91;7700;393,37;25/07/2015;24/01/2018;Encerrado;07/08/2015;25/07/2015;31/12/2017
7542018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0051679-0;800292;ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES;17.697.986/0001-01;309267;CR.P.CONV - ALEGRIA DO SABER;170;102;235432,98;14638,28;0;04/10/2023;03/10/2028;Aprovado;20/09/2018;04/10/2018;
3232019;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2019/0080974-9;800292;ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES;13.222.705/0001-03;309547;CR.P.CONV - ALEGRIA DO SABER II;102;47;151735,96;12747,64;1564,41;05/12/2019;04/12/2024;Aprovado;29/11/2019;05/12/2019;
1132021;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2021/0096410-1;800292;ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES;18.249.301/0001-19;309765;CR.P.CONV - ALEGRIA DO SABER III;103;54;154049,59;11515,13;935,12;04/10/2021;03/10/2026;Aprovado;27/09/2021;04/10/2021;
1432021;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2021/0102380-7;800292;ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES;18.249.301/0001-19;309766;CR.P.CONV - ALEGRIA DO SABER IV;130;78;185203,99;7732,77;1097,72;25/10/2021;24/10/2026;Aprovado;08/10/2021;25/10/2021;
8042018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0061342-7;300418;INSTITUTO ANGLICANO;21.987.617/0001-12;309291;CR.P.CONV - ANGLICANA ANA PAULA QUINTAO;303;115;337202,73;0;0;12/12/2023;11/12/2028;Aprovado;06/12/2018;12/12/2018;
3342019;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2019/0078701-0;300418;INSTITUTO ANGLICANO;21.987.617/0001-12;309555;CR.P.CONV - ANGLICANA BERNARDO GIACOMINI GONCALVES;214;82;247921,94;0;0;18/12/2019;17/12/2024;Aprovado;11/12/2019;18/12/2019;
8052018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0061343-5;300418;INSTITUTO ANGLICANO;21.987.617/0001-12;309292;CR.P.CONV - ANGLICANA CRISTINA NARDINELLI;261;118;303770,76;0;0;12/12/2023;11/12/2028;Aprovado;06/12/2018;12/12/2018;
6032017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043993-0;300418;INSTITUTO ANGLICANO;05.401.345/0001-70;307398;CR.P.CONV - ANGLICANA RENATA EUGENIA RODRIGUES - UNID IV- MORUMBI;221;101;262628,71;0;0;27/12/2022;26/12/2027;Aprovado;30/11/2017;11/12/2017;
2410;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.161.005-4;300418;INSTITUTO ANGLICANO;05.401.345/0001-70;307398;CR.P.CONV - ANGLICANA RENATA EUGENIA RODRIGUES - UNID IV- MORUMBI;428;100;223700,96;0;0;24/07/2015;23/01/2018;Encerrado;09/11/2015;24/07/2015;10/12/2017
1612;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2010-0.163.148-6;300418;INSTITUTO ANGLICANO;05.401.345/0001-70;307398;CR.P.CONV - ANGLICANA RENATA EUGENIA RODRIGUES - UNID IV- MORUMBI;444;100;203285,6;0;0;04/04/2013;03/10/2015;Encerrado;03/02/2015;03/04/2013;23/07/2015
5822017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050111-2;300707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;05.401.345/0001-70;306507;CR.P.CONV - BELEZINHA PRIMAVERA;103;18;110107;8000;750;01/01/2018;31/12/2022;Encerrado;28/11/2017;01/01/2018;20/12/2019
2719;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.124.684-2;300707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;05.401.345/0001-70;306507;CR.P.CONV - BELEZINHA PRIMAVERA;97;36;75035,08;5820,5;639,02;20/06/2016;19/12/2018;Encerrado;21/06/2016;20/06/2016;31/12/2017
9642017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048095-6;300290;INSTITUTO BLANDINA MEIRELLES - EDUCAÇÃO VINCULO E CIDADANIA;05.401.345/0001-70;306186;CR.P.CONV - BLANDINA MEIRELLES;275;117;314914,75;0;0;01/01/2023;31/12/2027;Aprovado;19/12/2017;01/01/2018;
43;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.135-5;300290;INSTITUTO BLANDINA MEIRELLES - EDUCAÇÃO VINCULO E CIDADANIA;67.843.045/0001-07;306186;CR.P.CONV - BLANDINA MEIRELLES;272;101;152304,14;0;0;01/07/2015;31/12/2017;Encerrado;20/03/2014;28/12/2012;31/12/2017
2012020;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2020/0057179-5;800265;CENTRO DE DESENVOLVIMENTO E AMPARO A PESSOA;67.843.045/0001-07;307726;CR.P.CONV - CAROLINA MARIA DE JESUS;226;105;306310,6;32654,02;5006,77;15/07/2020;14/07/2025;Aprovado;31/07/2020;15/07/2020;
572017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000309-2;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;62.391.818/0001-30;307815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;247;94;280915,52;0;0;31/07/2022;30/07/2027;Aprovado;31/07/2017;31/07/2017;
910;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.750-6;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;62.391.818/0001-30;307815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;281;128;162025,22;0;0;01/02/2015;30/07/2017;Encerrado;31/07/2014;01/08/2012;30/07/2017
4172017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0042997-7;300255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;60.597.044/0001-72;306191;CR.P.CONV - CASA DA PEQUENA IVETE;57;9;75792,09;0;0;01/01/2023;31/12/2027;Aprovado;14/11/2017;01/01/2018;
